ds,model,cls,grp,tight,method,n_seeds,f1m_mean,f1m_std,f1w_mean,f1w_std,acc_mean,acc_std,ece_mean,ece_std,brier_mean,brier_std,flips_mean,flips_std,sat_mean,sat_std
tissuemnist,MobileNetV3,2,synth_group,L30_G30,tralo_bounded,4,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,2,synth_group,L30_G30,heuristic,4,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,2,synth_group,L50_G50,hounie_rcl,4,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,2,synth_group,L50_G50,tralo,4,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,2,synth_group,L50_G50,danits_lp,4,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,2,synth_group,L50_G50,fioretto_ldf,4,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,2,synth_group,L50_G50,tralo_bounded,4,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,2,synth_group,L50_G50,heuristic,4,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,2,synth_group,L80_G80,hounie_rcl,4,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,2,synth_group,L80_G80,tralo,4,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,2,synth_group,L80_G80,danits_lp,4,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,2,synth_group,L80_G80,fioretto_ldf,4,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,2,synth_group,L80_G80,tralo_bounded,4,,,,,,,,,,,,,,
tissuemnist,MobileNetV3,2,synth_group,L80_G80,heuristic,4,,,,,,,,,,,,,,
