label,class_name,filename,synth_group
45,c45,train_000000.jpg,0
8,c8,train_000001.jpg,1
45,c45,train_000002.jpg,2
81,c81,train_000003.jpg,0
18,c18,train_000004.jpg,1
76,c76,train_000005.jpg,2
37,c37,train_000006.jpg,0
19,c19,train_000007.jpg,1
44,c44,train_000008.jpg,2
45,c45,train_000009.jpg,0
67,c67,train_000010.jpg,1
28,c28,train_000011.jpg,2
38,c38,train_000012.jpg,0
61,c61,train_000013.jpg,1
15,c15,train_000014.jpg,2
12,c12,train_000015.jpg,0
19,c19,train_000016.jpg,1
67,c67,train_000017.jpg,2
81,c81,train_000018.jpg,0
39,c39,train_000019.jpg,1
72,c72,train_000020.jpg,2
63,c63,train_000021.jpg,0
43,c43,train_000022.jpg,1
94,c94,train_000023.jpg,2
13,c13,train_000024.jpg,0
53,c53,train_000025.jpg,1
2,c2,train_000026.jpg,2
81,c81,train_000027.jpg,0
94,c94,train_000028.jpg,1
16,c16,train_000029.jpg,2
20,c20,train_000030.jpg,0
95,c95,train_000031.jpg,1
23,c23,train_000032.jpg,2
54,c54,train_000033.jpg,0
80,c80,train_000034.jpg,1
18,c18,train_000035.jpg,2
78,c78,train_000036.jpg,0
23,c23,train_000037.jpg,1
33,c33,train_000038.jpg,2
41,c41,train_000039.jpg,0
31,c31,train_000040.jpg,1
26,c26,train_000041.jpg,2
15,c15,train_000042.jpg,0
21,c21,train_000043.jpg,1
53,c53,train_000044.jpg,2
70,c70,train_000045.jpg,0
65,c65,train_000046.jpg,1
90,c90,train_000047.jpg,2
20,c20,train_000048.jpg,0
59,c59,train_000049.jpg,1
14,c14,train_000050.jpg,2
9,c9,train_000051.jpg,0
50,c50,train_000052.jpg,1
55,c55,train_000053.jpg,2
91,c91,train_000054.jpg,0
71,c71,train_000055.jpg,1
11,c11,train_000056.jpg,2
78,c78,train_000057.jpg,0
57,c57,train_000058.jpg,1
79,c79,train_000059.jpg,2
41,c41,train_000060.jpg,0
89,c89,train_000061.jpg,1
71,c71,train_000062.jpg,2
36,c36,train_000063.jpg,0
56,c56,train_000064.jpg,1
98,c98,train_000065.jpg,2
38,c38,train_000066.jpg,0
7,c7,train_000067.jpg,1
7,c7,train_000068.jpg,2
80,c80,train_000069.jpg,0
31,c31,train_000070.jpg,1
6,c6,train_000071.jpg,2
88,c88,train_000072.jpg,0
10,c10,train_000073.jpg,1
98,c98,train_000074.jpg,2
53,c53,train_000075.jpg,0
5,c5,train_000076.jpg,1
54,c54,train_000077.jpg,2
95,c95,train_000078.jpg,0
75,c75,train_000079.jpg,1
57,c57,train_000080.jpg,2
14,c14,train_000081.jpg,0
79,c79,train_000082.jpg,1
49,c49,train_000083.jpg,2
34,c34,train_000084.jpg,0
12,c12,train_000085.jpg,1
72,c72,train_000086.jpg,2
93,c93,train_000087.jpg,0
87,c87,train_000088.jpg,1
80,c80,train_000089.jpg,2
37,c37,train_000090.jpg,0
98,c98,train_000091.jpg,1
41,c41,train_000092.jpg,2
84,c84,train_000093.jpg,0
14,c14,train_000094.jpg,1
97,c97,train_000095.jpg,2
79,c79,train_000096.jpg,0
84,c84,train_000097.jpg,1
93,c93,train_000098.jpg,2
21,c21,train_000099.jpg,0
54,c54,train_000100.jpg,1
33,c33,train_000101.jpg,2
1,c1,train_000102.jpg,0
54,c54,train_000103.jpg,1
30,c30,train_000104.jpg,2
66,c66,train_000105.jpg,0
40,c40,train_000106.jpg,1
56,c56,train_000107.jpg,2
29,c29,train_000108.jpg,0
7,c7,train_000109.jpg,1
75,c75,train_000110.jpg,2
23,c23,train_000111.jpg,0
91,c91,train_000112.jpg,1
33,c33,train_000113.jpg,2
99,c99,train_000114.jpg,0
62,c62,train_000115.jpg,1
33,c33,train_000116.jpg,2
20,c20,train_000117.jpg,0
58,c58,train_000118.jpg,1
22,c22,train_000119.jpg,2
42,c42,train_000120.jpg,0
36,c36,train_000121.jpg,1
75,c75,train_000122.jpg,2
95,c95,train_000123.jpg,0
97,c97,train_000124.jpg,1
54,c54,train_000125.jpg,2
43,c43,train_000126.jpg,0
17,c17,train_000127.jpg,1
68,c68,train_000128.jpg,2
41,c41,train_000129.jpg,0
80,c80,train_000130.jpg,1
29,c29,train_000131.jpg,2
25,c25,train_000132.jpg,0
80,c80,train_000133.jpg,1
34,c34,train_000134.jpg,2
61,c61,train_000135.jpg,0
45,c45,train_000136.jpg,1
50,c50,train_000137.jpg,2
57,c57,train_000138.jpg,0
9,c9,train_000139.jpg,1
99,c99,train_000140.jpg,2
2,c2,train_000141.jpg,0
