Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Limit_Class7,Hard_Class7,Soft_Class7,Limit_Class8,Hard_Class8,Soft_Class8,Limit_Class9,Hard_Class9,Soft_Class9,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4
51,0.9982,0.005654,0.140120,0.275094,0.000000,0.05,0.05,0,0,inf,266,265.89,inf,267,266.97,inf,265,265.39,inf,222,222.48,111,214,214.29,inf,178,178.31,inf,234,232.73,inf,270,269.67,inf,216,216.18,inf,268,268.09,103,103.14,54,111,111.15,58
55,1.0000,0.000000,0.193828,0.380851,0.000000,0.06,0.06,0,0,inf,265,265.82,inf,267,267.12,inf,270,269.73,inf,220,220.74,111,219,217.51,inf,177,177.15,inf,229,229.33,inf,269,269.38,inf,216,215.51,inf,268,267.71,106,105.13,54,113,112.38,58
60,1.0000,0.000000,0.250267,0.490440,0.000000,0.07,0.07,0,0,inf,266,265.46,inf,267,267.16,inf,268,267.01,inf,222,222.33,111,211,211.23,inf,178,177.93,inf,233,233.60,inf,273,272.40,inf,215,215.17,inf,267,267.70,101,101.05,54,110,110.19,58
65,1.0000,0.000000,0.273104,0.531953,0.000000,0.08,0.08,0,0,inf,265,265.14,inf,267,267.23,inf,264,261.56,inf,223,223.66,111,195,195.80,inf,180,178.72,inf,241,243.43,inf,283,282.10,inf,215,214.51,inf,267,267.85,92,92.99,54,103,102.82,58
70,1.0000,0.000000,0.182220,0.350576,0.000000,0.09,0.09,0,0,inf,264,265.00,inf,267,267.20,inf,252,252.69,inf,225,226.42,111,165,163.68,inf,179,179.18,inf,261,260.34,inf,305,303.82,inf,214,213.45,inf,268,268.22,81,80.22,54,84,83.46,58
75,1.0000,0.000000,0.003228,0.004621,0.000000,0.10,0.10,0,0,inf,265,265.14,inf,266,266.88,inf,245,243.58,inf,230,229.38,111,116,113.91,inf,181,179.84,inf,275,276.64,inf,341,343.76,inf,212,212.09,inf,269,268.78,57,55.88,54,59,58.03,58
76,1.0000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,265,265.21,inf,267,266.83,inf,242,241.07,inf,230,228.91,111,100,101.53,inf,180,179.92,inf,279,279.69,inf,356,356.13,inf,212,211.79,inf,269,268.92,49,50.30,54,51,51.23,58
80,1.0000,0.000000,0.525162,1.023774,0.000000,0.11,0.11,0,0,inf,266,266.79,inf,267,267.14,inf,266,265.19,inf,222,221.61,111,201,199.29,inf,179,178.09,inf,236,239.13,inf,281,280.72,inf,215,214.23,inf,267,267.81,95,94.69,54,106,104.60,58
85,1.0000,0.000000,0.490946,0.951932,0.000000,0.12,0.12,0,0,inf,267,266.77,inf,267,267.10,inf,263,261.23,inf,220,221.72,111,184,183.52,inf,179,178.36,inf,248,248.55,inf,291,291.19,inf,214,213.62,inf,267,267.93,89,88.17,54,95,95.35,58
90,1.0000,0.000000,0.262038,0.500535,0.000000,0.13,0.13,0,0,inf,267,266.89,inf,266,266.94,inf,254,253.66,inf,222,222.99,111,156,153.66,inf,178,178.49,inf,264,262.89,inf,311,313.42,inf,214,212.72,inf,268,268.35,77,75.73,54,79,77.93,58
95,1.0000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,268,267.22,inf,267,266.74,inf,247,244.38,inf,224,223.76,111,99,100.17,inf,178,178.58,inf,275,277.31,inf,362,361.44,inf,211,211.41,inf,269,268.99,49,49.34,54,50,50.83,58
100,1.0000,0.000000,0.705303,1.373283,0.000000,0.11,0.11,0,0,inf,266,266.44,inf,267,267.11,inf,266,265.10,inf,221,221.56,111,196,196.75,inf,179,178.23,inf,240,240.42,inf,282,282.54,inf,215,214.02,inf,268,267.84,93,93.55,54,103,103.20,58
105,1.0000,0.000000,0.590125,1.141082,0.000000,0.12,0.12,0,0,inf,267,266.49,inf,266,267.05,inf,261,260.15,inf,220,221.72,111,181,177.54,inf,179,178.50,inf,250,251.26,inf,295,295.99,inf,214,213.33,inf,267,267.97,87,85.87,54,94,91.67,58
110,1.0000,0.000000,0.185808,0.350107,0.000000,0.13,0.13,0,0,inf,267,266.62,inf,267,266.92,inf,253,252.05,inf,223,223.34,111,142,140.62,inf,178,178.69,inf,267,267.34,inf,323,323.68,inf,212,212.33,inf,268,268.41,71,69.45,54,71,71.17,58
113,1.0000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,266,266.77,inf,267,266.82,inf,248,245.79,inf,224,223.68,111,104,106.24,inf,178,178.70,inf,276,276.40,inf,356,355.30,inf,212,211.48,inf,269,268.81,49,51.49,54,55,54.75,58
