Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Limit_Class7,Hard_Class7,Soft_Class7,Limit_Class8,Hard_Class8,Soft_Class8,Limit_Class9,Hard_Class9,Soft_Class9,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4
51,0.9982,0.005654,0.140120,0.275094,0.000000,0.05,0.05,0,0,inf,266,265.89,inf,267,266.97,inf,265,265.39,inf,222,222.48,111,214,214.29,inf,178,178.31,inf,234,232.73,inf,270,269.67,inf,216,216.18,inf,268,268.09,103,103.14,54,111,111.15,58
55,1.0000,0.000000,0.193828,0.380851,0.000000,0.06,0.06,0,0,inf,265,265.82,inf,267,267.12,inf,270,269.73,inf,220,220.74,111,219,217.51,inf,177,177.15,inf,229,229.33,inf,269,269.38,inf,216,215.51,inf,268,267.71,106,105.13,54,113,112.38,58
60,1.0000,0.000000,0.250267,0.490440,0.000000,0.07,0.07,0,0,inf,266,265.46,inf,267,267.16,inf,268,267.01,inf,222,222.33,111,211,211.23,inf,178,177.93,inf,233,233.60,inf,273,272.40,inf,215,215.17,inf,267,267.70,101,101.05,54,110,110.19,58
65,1.0000,0.000000,0.273104,0.531953,0.000000,0.08,0.08,0,0,inf,265,265.14,inf,267,267.23,inf,264,261.56,inf,223,223.66,111,195,195.80,inf,180,178.72,inf,241,243.43,inf,283,282.10,inf,215,214.51,inf,267,267.85,92,92.99,54,103,102.82,58
70,1.0000,0.000000,0.182220,0.350576,0.000000,0.09,0.09,0,0,inf,264,265.00,inf,267,267.20,inf,252,252.69,inf,225,226.42,111,165,163.68,inf,179,179.18,inf,261,260.34,inf,305,303.82,inf,214,213.45,inf,268,268.22,81,80.22,54,84,83.46,58
75,1.0000,0.000000,0.003228,0.004621,0.000000,0.10,0.10,0,0,inf,265,265.14,inf,266,266.88,inf,245,243.58,inf,230,229.38,111,116,113.91,inf,181,179.84,inf,275,276.64,inf,341,343.76,inf,212,212.09,inf,269,268.78,57,55.88,54,59,58.03,58
76,1.0000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,265,265.21,inf,267,266.83,inf,242,241.07,inf,230,228.91,111,100,101.53,inf,180,179.92,inf,279,279.69,inf,356,356.13,inf,212,211.79,inf,269,268.92,49,50.30,54,51,51.23,58
80,1.0000,0.000000,0.246941,0.481431,0.000000,0.06,0.06,0,0,inf,266,266.79,inf,267,267.14,inf,266,265.23,inf,222,221.61,111,201,199.45,inf,179,178.09,inf,236,239.03,inf,281,280.62,inf,215,214.23,inf,267,267.81,95,94.77,54,106,104.68,58
85,1.0000,0.000000,0.361589,0.701220,0.000000,0.09,0.09,0,0,inf,267,266.77,inf,267,267.11,inf,263,261.37,inf,220,221.71,111,184,184.01,inf,179,178.35,inf,248,248.29,inf,291,290.83,inf,214,213.64,inf,267,267.93,89,88.34,54,95,95.66,58
90,1.0000,0.000000,0.206473,0.394666,0.000000,0.10,0.10,0,0,inf,267,266.88,inf,266,266.95,inf,254,253.83,inf,222,222.93,111,156,154.56,inf,178,178.48,inf,264,262.55,inf,311,312.75,inf,214,212.74,inf,268,268.34,77,76.15,54,79,78.40,58
95,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.08,1,1,inf,268,267.21,inf,267,266.75,inf,247,244.63,inf,224,223.79,111,100,101.44,inf,178,178.58,inf,275,277.08,inf,361,360.11,inf,211,211.44,inf,269,268.98,49,49.83,54,51,51.60,58
100,1.0000,0.000000,0.584808,1.137561,0.000000,0.09,0.09,0,0,inf,266,266.44,inf,267,267.10,inf,265,264.48,inf,221,221.57,111,195,194.18,inf,179,178.28,inf,241,242.06,inf,283,284.11,inf,215,213.92,inf,268,267.86,92,92.36,54,103,101.82,58
105,1.0000,0.000000,0.439227,0.847326,0.000000,0.10,0.10,0,0,inf,267,266.51,inf,266,267.03,inf,259,258.58,inf,220,221.90,111,173,172.31,inf,179,178.52,inf,253,253.95,inf,302,300.00,inf,214,213.16,inf,267,268.04,84,83.80,54,89,88.51,58
110,1.0000,0.000000,0.068884,0.125922,0.000000,0.10,0.10,0,0,inf,267,266.65,inf,267,266.89,inf,250,250.17,inf,224,223.73,111,132,130.13,inf,179,178.71,inf,270,270.59,inf,331,332.52,inf,212,212.07,inf,268,268.54,64,63.85,54,68,66.28,58
112,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.08,1,1,inf,266,266.76,inf,267,266.82,inf,248,245.77,inf,224,223.71,111,104,106.47,inf,178,178.68,inf,276,276.48,inf,356,355.01,inf,212,211.48,inf,269,268.82,49,51.60,54,55,54.87,58
